,day,jurisdiction,NPI,S,E,P,I,A,R,D
137,9,11,0,530795,8,6,5,2,3,0
138,9,12,0,800912,3,3,4,2,6,0
139,9,13,0,862085,15,2,6,1,7,0
140,10,0,0,228989,1,1,1,0,3,0
141,10,1,0,129038,0,0,0,0,1,0
142,10,2,0,579174,12,9,6,2,5,0
143,10,3,0,20605,0,0,0,0,0,0
144,10,4,0,809782,11,12,10,1,11,0
145,10,5,0,71023,2,1,0,0,2,0
146,10,6,0,465826,3,1,4,0,5,0
147,10,7,0,162312,1,1,1,0,1,0
148,10,8,0,1631985,11,5,9,3,15,0
149,10,9,0,14251,0,0,0,0,0,0
150,10,10,0,725908,7,2,8,1,6,0
151,10,11,0,530795,5,7,6,3,3,0
152,10,12,0,800912,3,3,3,1,8,0
153,10,13,0,862084,7,10,7,1,7,0
154,11,0,0,228989,1,1,1,0,3,0
155,11,1,0,129038,0,0,0,0,1,0
156,11,2,0,579172,12,9,6,4,5,0
157,11,3,0,20605,0,0,0,0,0,0
158,11,4,0,809780,10,14,7,2,14,0
159,11,5,0,71023,1,2,0,0,2,0
160,11,6,0,465826,3,1,2,0,7,0
161,11,7,0,162310,3,1,1,0,1,0
162,11,8,0,1631984,8,7,10,3,16,0
163,11,9,0,14251,0,0,0,0,0,0
164,11,10,0,725905,9,3,8,1,6,0
165,11,11,0,530793,6,7,6,3,4,0
166,11,12,0,800911,3,4,3,1,8,0
167,11,13,0,862079,9,10,9,1,8,0
168,12,0,0,228987,2,2,1,0,3,0
169,12,1,0,129038,0,0,0,0,1,0
170,12,2,0,579168,13,11,6,5,5,0
171,12,3,0,20605,0,0,0,0,0,0
172,12,4,0,809777,11,11,8,4,16,0
173,12,5,0,71023,1,2,0,0,2,0
174,12,6,0,465826,3,1,2,0,7,0
175,12,7,0,162310,2,2,1,0,1,0
176,12,8,0,1631975,12,9,11,3,18,0
177,12,9,0,14251,0,0,0,0,0,0
178,12,10,0,725901,11,5,8,1,6,0
179,12,11,0,530791,7,6,5,4,6,0
180,12,12,0,800909,5,3,3,2,8,0
181,12,13,0,862073,12,11,9,1,10,0
182,13,0,0,228987,1,3,0,0,4,0
183,13,1,0,129038,0,0,0,0,1,0
184,13,2,0,579167,11,10,7,6,7,0
185,13,3,0,20605,0,0,0,0,0,0
186,13,4,0,809772,14,11,8,5,17,0
187,13,5,0,71023,1,1,1,0,2,0
188,13,6,0,465825,4,1,2,0,7,0
189,13,7,0,162310,2,1,2,0,1,0
190,13,8,0,1631967,15,13,10,2,21,0
191,13,9,0,14251,0,0,0,0,0,0
192,13,10,0,725897,13,5,8,1,8,0
193,13,11,0,530788,9,6,5,5,6,0
194,13,12,0,800907,5,5,2,2,9,0
195,13,13,0,862063,17,14,7,3,12,0
196,14,0,0,228986,1,4,0,0,4,0
197,14,1,0,129038,0,0,0,0,1,0
198,14,2,0,579162,14,7,12,5,8,0
199,14,3,0,20605,0,0,0,0,0,0
200,14,4,0,809769,13,12,8,5,20,0
201,14,5,0,71023,1,1,1,0,2,0
202,14,6,0,465823,4,2,2,0,8,0
203,14,7,0,162308,3,1,2,1,1,0
204,14,8,0,1631958,20,16,10,3,21,0
205,14,9,0,14251,0,0,0,0,0,0
206,14,10,0,725895,10,10,7,1,9,0
207,14,11,0,530784,8,10,4,6,7,0
208,14,12,0,800907,5,4,3,2,9,0
209,14,13,0,862058,18,14,10,3,13,0
210,15,0,0,228985,2,3,1,0,4,0
211,15,1,0,129038,0,0,0,0,1,0
212,15,2,0,579156,14,11,8,6,13,0
213,15,3,0,20605,0,0,0,0,0,0
214,15,4,0,809759,19,13,9,5,22,0
215,15,5,0,71022,2,1,1,0,2,0
216,15,6,0,465820,7,2,2,0,8,0
217,15,7,0,162307,4,1,1,1,2,0
218,15,8,0,1631953,19,18,12,4,22,0
219,15,9,0,14251,0,0,0,0,0,0
220,15,10,0,725889,15,9,7,2,10,0
221,15,11,0,530776,14,9,5,6,9,0
222,15,12,0,800907,4,4,3,2,10,0
223,15,13,0,862054,18,14,13,1,16,0
224,16,0,0,228985,1,4,1,0,4,0
225,16,1,0,129038,0,0,0,0,1,0
226,16,2,0,579150,19,12,7,6,14,0
227,16,3,0,20605,0,0,0,0,0,0
228,16,4,0,809755,16,18,6,7,25,0
229,16,5,0,71022,1,2,1,0,2,0
230,16,6,0,465818,6,4,3,0,8,0
231,16,7,0,162307,3,1,2,1,2,0
232,16,8,0,1631941,26,19,15,5,22,0
233,16,9,0,14251,0,0,0,0,0,0
234,16,10,0,725887,15,9,9,1,11,0
235,16,11,0,530770,15,11,7,5,11,0
236,16,12,0,800904,7,4,3,2,10,0
237,16,13,0,862042,26,13,17,1,17,0
238,17,0,0,228983,2,4,2,0,4,0
239,17,1,0,129038,0,0,0,0,1,0
240,17,2,0,579147,18,11,11,6,15,0
241,17,3,0,20605,0,0,0,0,0,0
242,17,4,0,809753,14,15,11,8,26,0
243,17,5,0,71021,2,2,1,0,2,0
244,17,6,0,465817,7,2,3,2,8,0
245,17,7,0,162307,2,2,1,1,3,0
246,17,8,0,1631935,27,22,13,5,26,0
247,17,9,0,14251,0,0,0,0,0,0
248,17,10,0,725884,11,11,9,4,13,0
249,17,11,0,530761,20,12,8,5,13,0
250,17,12,0,800903,6,5,2,3,11,0
251,17,13,0,862033,30,15,18,1,19,0
252,18,0,0,228981,3,3,3,1,4,0
253,18,1,0,129038,0,0,0,0,1,0
254,18,2,0,579145,16,15,9,6,17,0
255,18,3,0,20605,0,0,0,0,0,0
256,18,4,0,809746,17,16,11,8,29,0
257,18,5,0,71021,0,3,2,0,2,0
258,18,6,0,465814,8,2,3,1,11,0
259,18,7,0,162305,4,1,2,1,3,0
260,18,8,0,1631925,32,21,17,6,27,0
261,18,9,0,14251,0,0,0,0,0,0
262,18,10,0,725881,13,10,8,4,16,0
263,18,11,0,530757,18,17,8,5,14,0
264,18,12,0,800901,7,6,2,3,11,0
265,18,13,0,862025,32,16,21,3,19,0
266,19,0,0,228980,3,4,3,1,4,0
267,19,1,0,129038,0,0,0,0,1,0
268,19,2,0,579143,12,17,11,6,19,0
269,19,3,0,20605,0,0,0,0,0,0
270,19,4,0,809741,14,20,9,11,32,0
271,19,5,0,71019,2,1,2,1,3,0
272,19,6,0,465812,7,3,1,3,13,0
273,19,7,0,162305,4,1,2,1,3,0
274,19,8,0,1631910,39,25,19,6,29,0
275,19,9,0,14251,0,0,0,0,0,0
276,19,10,0,725876,15,9,8,7,17,0
277,19,11,0,530749,23,18,8,6,15,0
278,19,12,0,800900,6,7,1,3,13,0
279,19,13,0,862016,32,23,19,4,22,0
280,20,0,0,228978,5,2,4,2,4,0
281,20,1,0,129038,0,0,0,0,1,0
282,20,2,0,579135,17,19,11,6,20,0
283,20,3,0,20605,0,0,0,0,0,0
284,20,4,0,809733,18,18,14,12,32,0
285,20,5,0,71019,2,0,3,0,4,0
286,20,6,0,465811,6,5,0,2,15,0
287,20,7,0,162303,4,3,2,1,3,0
288,20,8,0,1631897,40,32,20,9,30,0
289,20,9,0,14251,0,0,0,0,0,0
290,20,10,0,725867,20,11,7,8,19,0
291,20,11,0,530741,23,21,12,6,16,0
292,20,12,0,800896,9,5,2,5,13,0
293,20,13,0,862004,37,25,20,6,24,0
294,21,0,0,228977,6,1,2,2,7,0
295,21,1,0,129038,0,0,0,0,1,0
296,21,2,0,579126,21,17,15,8,21,0
297,21,3,0,20605,0,0,0,0,0,0
298,21,4,0,809719,30,17,16,10,35,0
299,21,5,0,71017,3,1,3,0,4,0
300,21,6,0,465811,5,5,1,1,16,0
301,21,7,0,162303,1,6,2,0,4,0
302,21,8,0,1631886,41,33,26,11,31,0
303,21,9,0,14251,0,0,0,0,0,0
304,21,10,0,725859,23,14,9,7,20,0
305,21,11,0,530732,27,19,16,8,17,0
306,21,12,0,800894,8,6,3,6,13,0
307,21,13,0,861989,40,33,16,8,30,0
308,22,0,0,228977,5,2,1,2,8,0
309,22,1,0,129038,0,0,0,0,1,0
310,22,2,0,579115,24,21,15,10,23,0
311,22,3,0,20605,0,0,0,0,0,0
312,22,4,0,809702,35,25,18,9,38,0
313,22,5,0,71016,4,0,3,1,4,0
314,22,6,0,465809,5,7,1,1,16,0
315,22,7,0,162302,1,6,3,0,4,0
316,22,8,0,1631868,51,35,26,12,36,0
317,22,9,0,14251,0,0,0,0,0,0
318,22,10,0,725856,18,17,12,5,24,0
319,22,11,0,530724,26,23,15,8,23,0
320,22,12,0,800891,9,5,5,5,15,0
321,22,13,0,861980,33,42,18,8,35,0
322,23,0,0,228977,4,3,1,2,8,0
323,23,1,0,129038,0,0,0,0,1,0
324,23,2,0,579106,27,24,17,8,26,0
325,23,3,0,20605,0,0,0,0,0,0
326,23,4,0,809692,39,28,20,8,40,0
327,23,5,0,71014,6,0,2,0,6,0
328,23,6,0,465808,6,5,3,1,16,0
329,23,7,0,162301,2,6,1,0,6,0
330,23,8,0,1631853,49,44,28,14,40,0
331,23,9,0,14251,0,0,0,0,0,0
332,23,10,0,725844,26,14,14,8,26,0
333,23,11,0,530709,36,23,17,10,24,0
334,23,12,0,800889,10,5,4,5,17,0
335,23,13,0,861965,42,38,18,13,40,0
336,24,0,0,228975,5,4,1,2,8,0
337,24,1,0,129037,1,0,0,0,1,0
338,24,2,0,579093,35,21,22,8,29,0
339,24,3,0,20605,0,0,0,0,0,0
340,24,4,0,809681,39,34,24,9,40,0
341,24,5,0,71013,4,3,1,0,7,0
342,24,6,0,465805,8,5,4,1,16,0
343,24,7,0,162300,2,6,2,0,6,0
344,24,8,0,1631837,49,53,26,15,48,0
345,24,9,0,14251,0,0,0,0,0,0
346,24,10,0,725837,27,17,15,9,27,0
347,24,11,0,530696,35,34,17,12,25,0
348,24,12,0,800883,12,7,3,5,20,0
349,24,13,0,861938,54,40,23,15,46,0
350,25,0,0,228972,6,6,0,2,9,0
351,25,1,0,129037,1,0,0,0,1,0
352,25,2,0,579088,32,27,17,8,36,0
353,25,3,0,20605,0,0,0,0,0,0
354,25,4,0,809664,49,39,24,8,43,0
355,25,5,0,71013,3,3,2,0,7,0
356,25,6,0,465799,14,3,6,1,16,0
357,25,7,0,162300,1,5,4,0,6,0
358,25,8,0,1631812,53,55,36,18,54,0
359,25,9,0,14251,0,0,0,0,0,0
360,25,10,0,725824,32,19,18,10,29,0
361,25,11,0,530690,27,42,18,13,29,0
362,25,12,0,800880,11,8,6,4,21,0
363,25,13,0,861921,60,38,28,17,52,1
364,26,0,0,228971,7,4,1,3,9,0
365,26,1,0,129037,1,0,0,0,1,0
366,26,2,0,579075,40,25,21,9,38,0
367,26,3,0,20605,0,0,0,0,0,0
368,26,4,0,809650,50,42,30,10,45,0
369,26,5,0,71012,4,2,2,1,7,0
370,26,6,0,465799,8,9,6,1,16,0
371,26,7,0,162296,4,5,4,1,6,0
372,26,8,0,1631785,68,57,37,20,61,0
373,26,9,0,14251,0,0,0,0,0,0
374,26,10,0,725810,35,26,14,10,37,0
375,26,11,0,530672,40,35,21,14,37,0
376,26,12,0,800871,19,9,6,4,21,0
377,26,13,0,861905,67,32,36,15,61,1
378,27,0,0,228969,6,7,1,3,9,0
379,27,1,0,129037,1,0,0,0,1,0
380,27,2,0,579066,36,29,25,11,41,0
381,27,3,0,20605,0,0,0,0,0,0
382,27,4,0,809637,52,41,36,12,49,0
383,27,5,0,71010,6,2,2,0,8,0
384,27,6,0,465799,7,9,5,1,18,0
385,27,7,0,162292,7,5,3,2,7,0
386,27,8,0,1631756,79,63,42,17,71,0
387,27,9,0,14251,0,0,0,0,0,0
388,27,10,0,725798,38,31,14,9,42,1
389,27,11,0,530660,36,45,19,15,44,0
390,27,12,0,800865,20,11,8,3,23,0
391,27,13,0,861878,77,37,41,18,65,1
392,28,0,0,228964,10,7,2,3,9,0
393,28,1,0,129037,1,0,0,0,1,0
394,28,2,0,579053,41,23,29,15,47,0
395,28,3,0,20605,0,0,0,0,0,0
396,28,4,0,809626,54,40,38,16,53,0
397,28,5,0,71009,6,3,2,0,8,0
398,28,6,0,465793,12,7,3,4,20,0
399,28,7,0,162292,6,6,3,2,7,0
400,28,8,0,1631727,88,65,54,17,77,0
401,28,9,0,14251,0,0,0,0,0,0
402,28,10,0,725782,41,36,17,12,44,1
403,28,11,0,530643,44,45,24,14,49,0
404,28,12,0,800858,22,11,12,4,23,0
405,28,13,0,861848,90,45,44,14,75,2
406,29,0,0,228961,12,7,2,3,10,0
407,29,1,0,129037,1,0,0,0,1,0
408,29,2,0,579042,41,31,26,15,53,0
409,29,3,0,20605,0,0,0,0,0,0
410,29,4,0,809612,53,45,43,16,58,0
411,29,5,0,71007,6,4,3,0,8,0
412,29,6,0,465789,13,8,5,4,20,0
413,29,7,0,162292,4,8,3,2,7,0
414,29,8,0,1631692,102,68,57,20,89,0
415,29,9,0,14251,0,0,0,0,0,0
416,29,10,0,725765,52,30,22,15,48,1
417,29,11,0,530623,46,53,30,16,51,0
418,29,12,0,800847,26,15,11,4,27,0
