Data Table for Cumulative Deaths - Massachusetts
Date generated: Sun Jul 28 2024 14:32:58 GMT-0500 (Central Daylight Saving Time)
Geography,Date,Cumulative Deaths,Death Data As Of
Massachusetts,Jun  4 2022,18376,Jul 25 2024
Massachusetts,May 28 2022,18325,Jul 25 2024
Massachusetts,May 21 2022,18273,Jul 25 2024
Massachusetts,May 14 2022,18201,Jul 25 2024
Massachusetts,May  7 2022,18143,Jul 25 2024
Massachusetts,Apr 30 2022,18104,Jul 25 2024
Massachusetts,Apr 23 2022,18081,Jul 25 2024
Massachusetts,Apr 16 2022,18049,Jul 25 2024
Massachusetts,Apr  9 2022,18018,Jul 25 2024
Massachusetts,Apr  2 2022,17993,Jul 25 2024
Massachusetts,Mar 26 2022,17958,Jul 25 2024
Massachusetts,Mar 19 2022,17930,Jul 25 2024
Massachusetts,Mar 12 2022,17894,Jul 25 2024
Massachusetts,Mar  5 2022,17858,Jul 25 2024
Massachusetts,Feb 26 2022,17810,Jul 25 2024
Massachusetts,Feb 19 2022,17722,Jul 25 2024
Massachusetts,Feb 12 2022,17595,Jul 25 2024
Massachusetts,Feb  5 2022,17386,Jul 25 2024
Massachusetts,Jan 29 2022,17097,Jul 25 2024
Massachusetts,Jan 22 2022,16740,Jul 25 2024
Massachusetts,Jan 15 2022,16317,Jul 25 2024
Massachusetts,Jan  8 2022,15982,Jul 25 2024
Massachusetts,Jan  1 2022,15666,Jul 25 2024
Massachusetts,Dec 25 2021,15412,Jul 25 2024
Massachusetts,Dec 18 2021,15231,Jul 25 2024
Massachusetts,Dec 11 2021,15057,Jul 25 2024
Massachusetts,Dec  4 2021,14913,Jul 25 2024
Massachusetts,Nov 27 2021,14779,Jul 25 2024
Massachusetts,Nov 20 2021,14684,Jul 25 2024
Massachusetts,Nov 13 2021,14614,Jul 25 2024
Massachusetts,Nov  6 2021,14546,Jul 25 2024
Massachusetts,Oct 30 2021,14472,Jul 25 2024
Massachusetts,Oct 23 2021,14405,Jul 25 2024
Massachusetts,Oct 16 2021,14328,Jul 25 2024
Massachusetts,Oct  9 2021,14261,Jul 25 2024
Massachusetts,Oct  2 2021,14182,Jul 25 2024
Massachusetts,Sep 25 2021,14084,Jul 25 2024
Massachusetts,Sep 18 2021,13999,Jul 25 2024
Massachusetts,Sep 11 2021,13925,Jul 25 2024
Massachusetts,Sep  4 2021,13858,Jul 25 2024
Massachusetts,Aug 28 2021,13794,Jul 25 2024
Massachusetts,Aug 21 2021,13744,Jul 25 2024
Massachusetts,Aug 14 2021,13708,Jul 25 2024
Massachusetts,Aug  7 2021,13668,Jul 25 2024
Massachusetts,Jul 31 2021,13649,Jul 25 2024
Massachusetts,Jul 24 2021,13634,Jul 25 2024
Massachusetts,Jul 17 2021,13610,Jul 25 2024
Massachusetts,Jul 10 2021,13597,Jul 25 2024
Massachusetts,Jul  3 2021,13588,Jul 25 2024
Massachusetts,Jun 26 2021,13574,Jul 25 2024
Massachusetts,Jun 19 2021,13565,Jul 25 2024
Massachusetts,Jun 12 2021,13548,Jul 25 2024
Massachusetts,Jun  5 2021,13526,Jul 25 2024
Massachusetts,May 29 2021,13500,Jul 25 2024
Massachusetts,May 22 2021,13471,Jul 25 2024
Massachusetts,May 15 2021,13431,Jul 25 2024
Massachusetts,May  8 2021,13380,Jul 25 2024
Massachusetts,May  1 2021,13329,Jul 25 2024
Massachusetts,Apr 24 2021,13263,Jul 25 2024
Massachusetts,Apr 17 2021,13204,Jul 25 2024
Massachusetts,Apr 10 2021,13145,Jul 25 2024
Massachusetts,Apr  3 2021,13082,Jul 25 2024
Massachusetts,Mar 27 2021,13005,Jul 25 2024
Massachusetts,Mar 20 2021,12930,Jul 25 2024
Massachusetts,Mar 13 2021,12845,Jul 25 2024
Massachusetts,Mar  6 2021,12753,Jul 25 2024
Massachusetts,Feb 27 2021,12638,Jul 25 2024
Massachusetts,Feb 20 2021,12476,Jul 25 2024
Massachusetts,Feb 13 2021,12296,Jul 25 2024
Massachusetts,Feb  6 2021,12093,Jul 25 2024
Massachusetts,Jan 30 2021,11797,Jul 25 2024
Massachusetts,Jan 23 2021,11428,Jul 25 2024
Massachusetts,Jan 16 2021,11036,Jul 25 2024
Massachusetts,Jan  9 2021,10640,Jul 25 2024
Massachusetts,Jan  2 2021,10255,Jul 25 2024
Massachusetts,Dec 26 2020,9868,Jul 25 2024
Massachusetts,Dec 19 2020,9509,Jul 25 2024
Massachusetts,Dec 12 2020,9216,Jul 25 2024
Massachusetts,Dec  5 2020,8953,Jul 25 2024
Massachusetts,Nov 28 2020,8738,Jul 25 2024
Massachusetts,Nov 21 2020,8584,Jul 25 2024
Massachusetts,Nov 14 2020,8468,Jul 25 2024
Massachusetts,Nov  7 2020,8380,Jul 25 2024
Massachusetts,Oct 31 2020,8302,Jul 25 2024
Massachusetts,Oct 24 2020,8247,Jul 25 2024
Massachusetts,Oct 17 2020,8188,Jul 25 2024
Massachusetts,Oct 10 2020,8141,Jul 25 2024
Massachusetts,Oct  3 2020,8108,Jul 25 2024
Massachusetts,Sep 26 2020,8080,Jul 25 2024
Massachusetts,Sep 19 2020,8057,Jul 25 2024
Massachusetts,Sep 12 2020,8031,Jul 25 2024
Massachusetts,Sep  5 2020,8010,Jul 25 2024
Massachusetts,Aug 29 2020,7993,Jul 25 2024
Massachusetts,Aug 22 2020,7966,Jul 25 2024
Massachusetts,Aug 15 2020,7931,Jul 25 2024
Massachusetts,Aug  8 2020,7908,Jul 25 2024
Massachusetts,Aug  1 2020,7879,Jul 25 2024
Massachusetts,Jul 25 2020,7847,Jul 25 2024
Massachusetts,Jul 18 2020,7810,Jul 25 2024
Massachusetts,Jul 11 2020,7773,Jul 25 2024
Massachusetts,Jul  4 2020,7717,Jul 25 2024
Massachusetts,Jun 27 2020,7649,Jul 25 2024
Massachusetts,Jun 20 2020,7552,Jul 25 2024
Massachusetts,Jun 13 2020,7422,Jul 25 2024
Massachusetts,Jun  6 2020,7238,Jul 25 2024
Massachusetts,May 30 2020,6995,Jul 25 2024
